time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
57,3 finished CPU → wait queue,cpu_to_io,3,CPU1,"['2', '6', '7']",['3'],"['1', None]","['8', '4']"
57,2 dispatched to CPU1,dispatch_cpu,2,CPU1,"['6', '7']",['3'],"['1', '2']","['8', '4']"
60,9 added to ready queue,enqueue,9,,"['6', '7', '9']",['3'],"['1', '2']","['8', '4']"
60,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['6', '7', '9', '1']",['3'],"[None, '2']","['8', '4']"
60,2 finished CPU → wait queue,cpu_to_io,2,CPU1,"['6', '7', '9', '1']","['3', '2']","[None, None]","['8', '4']"
60,8 finished I/O → ready queue,io_to_ready,8,IO0,"['6', '7', '9', '1', '8']","['3', '2']","[None, None]","[None, '4']"
60,6 dispatched to CPU0,dispatch_cpu,6,CPU0,"['7', '9', '1', '8']","['3', '2']","['6', None]","[None, '4']"
60,7 dispatched to CPU1,dispatch_cpu,7,CPU1,"['9', '1', '8']","['3', '2']","['6', '7']","[None, '4']"
60,3 dispatched to IO0,dispatch_io,3,IO0,"['9', '1', '8']",['2'],"['6', '7']","['3', '4']"
63,6 finished CPU → wait queue,cpu_to_io,6,CPU0,"['9', '1', '8']","['2', '6']","[None, '7']","['3', '4']"
63,9 dispatched to CPU0,dispatch_cpu,9,CPU0,"['1', '8']","['2', '6']","['9', '7']","['3', '4']"
64,9 finished CPU → ready queue,cpu_to_ready,9,CPU0,"['1', '8', '9']","['2', '6']","[None, '7']","['3', '4']"
64,1 dispatched to CPU0,dispatch_cpu,1,CPU0,"['8', '9']","['2', '6']","['1', '7']","['3', '4']"
65,7 finished CPU → ready queue,cpu_to_ready,7,CPU1,"['8', '9', '7']","['2', '6']","['1', None]","['3', '4']"
65,8 dispatched to CPU1,dispatch_cpu,8,CPU1,"['9', '7']","['2', '6']","['1', '8']","['3', '4']"
66,8 finished CPU → wait queue,cpu_to_io,8,CPU1,"['9', '7']","['2', '6', '8']","['1', None]","['3', '4']"
66,9 dispatched to CPU1,dispatch_cpu,9,CPU1,['7'],"['2', '6', '8']","['1', '9']","['3', '4']"
70,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['7', '1']","['2', '6', '8']","[None, '9']","['3', '4']"
70,7 dispatched to CPU0,dispatch_cpu,7,CPU0,['1'],"['2', '6', '8']","['7', '9']","['3', '4']"
71,9 finished CPU → ready queue,cpu_to_ready,9,CPU1,"['1', '9']","['2', '6', '8']","['7', None]","['3', '4']"
71,1 dispatched to CPU1,dispatch_cpu,1,CPU1,['9'],"['2', '6', '8']","['7', '1']","['3', '4']"
73,4 finished I/O → ready queue,io_to_ready,4,IO1,"['9', '4']","['2', '6', '8']","['7', '1']","['3', None]"
73,2 dispatched to IO1,dispatch_io,2,IO1,"['9', '4']","['6', '8']","['7', '1']","['3', '2']"
74,10 added to ready queue,enqueue,10,,"['9', '4', '10']","['6', '8']","['7', '1']","['3', '2']"
